Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",0,4.34,Doubleday,Hardcover,720,2015,2015,,2022/12/22,to-read,to-read (#10),to-read,,,,0,0
13419252,Daughters Who Walk This Path,Yejide Kilanko,"Kilanko, Yejide",,"=""0143186116""","=""9780143186113""",0,4.08,Penguin Canada,Paperback,329,2012,2012,,2022/12/21,to-read,to-read (#9),to-read,,,,0,0
41949311,Someone Who Will Love You in All Your Damaged Glory,Raphael Bob-Waksberg,"Bob-Waksberg, Raphael",,"=""""","=""""",5,4.04,Knopf,Kindle Edition,256,2019,2019,2022/12/21,2022/09/05,,,read,sometimes you need to look outside yourself and love hard,,,1,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141301066""","=""9780141301068""",5,4.33,Puffin,Paperback,240,1998,1988,2022/12/20,2022/11/20,,,read,,,,1,0
10277960,My Two Worlds,Sergio Chejfec,"Chejfec, Sergio","Margaret Carson, Enrique Vila-Matas","=""1934824283""","=""9781934824283""",5,3.64,Open Letter,Paperback,103,2011,2008,2022/12/13,2022/11/25,,,read,,,,1,0
5351003,"La casa de los conejos (Trilogía de La casa de los conejos, #1)",Laura Alcoba,"Alcoba, Laura",,"=""9876280198""","=""9789876280198""",5,3.80,Edhasa,Paperback,134,2008,2008,2022/11/28,2022/11/25,,,read,,,,1,0
35511877,All My Goodbyes,Mariana Dimópulos,"Dimópulos, Mariana",Alice Whitmore,"=""1925336417""","=""9781925336412""",5,3.51,Giramondo Publishing,Paperback,136,2017,2010,2022/11/14,2022/11/08,,,read,,,,1,0
30852,The Woman Warrior,Maxine Hong Kingston,"Kingston, Maxine Hong",,"=""0679721886""","=""9780679721888""",4,3.73,Vintage,Paperback,204,1989,1976,2022/11/08,2022/10/29,,,read,,,,1,0
30375706,Things We Lost in the Fire,Mariana Enríquez,"Enríquez, Mariana",,"=""045149511X""","=""9780451495112""",0,4.07,Hogarth,Hardcover,192,2017,2016,,2022/09/27,to-read,to-read (#8),to-read,,,,0,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Olga Shartse,"=""""","=""""",0,4.02,,Paperback,82,1848,1848,,2022/09/17,to-read,to-read (#7),to-read,,,,0,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",5,4.14,Broadway,Paperback,246,1998,1990,,2022/09/10,,,read,,,,2,0
77810,The Days of Abandonment,Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1933372001""","=""9781933372006""",0,3.87,Europa Editions,Paperback,188,2005,2002,,2022/08/26,to-read,to-read (#6),to-read,,,,0,0
